gpa_link,name,location,average_gpa,acceptance_rate,average_act_composite,average_sat_composite,type_of_institution,level_of_institution,average_net_price,number_of_students
https://www.appily.com/colleges/gpa/4-0,university of californialos angeles,"Los Angeles, CA",3.9,9%,32,1429,PUBLIC,4 YEAR,"$16,474","46,430"
https://www.appily.com/colleges/gpa/4-0,harvard university,"Cambridge, MA",4.0,3%,35,1529,PRIVATE,4 YEAR,"$18,037","30,631"
https://www.appily.com/colleges/gpa/4-0,stanford university,"Stanford, CA",3.9,4%,35,1497,PRIVATE,4 YEAR,"$15,133","18,283"
https://www.appily.com/colleges/gpa/4-0,university of californiaberkeley,"Berkeley, CA",3.9,11%,32,1449,PUBLIC,4 YEAR,"$19,329","45,307"
https://www.appily.com/colleges/gpa/4-0,university of florida,"Gainesville, FL",3.9,23%,31,1394,PUBLIC,4 YEAR,"$10,075","55,211"
https://www.appily.com/colleges/gpa/4-0,university of chicago,"Chicago, IL",4.0,5%,36,1528,PRIVATE,4 YEAR,"$36,584","18,339"
https://www.appily.com/colleges/gpa/4-0,columbia university in the city of new york,"New York, NY",3.8,4%,35,1511,PRIVATE,4 YEAR,"$22,126","34,782"
https://www.appily.com/colleges/gpa/4-0,university of michiganann arbor,"Ann Arbor, MI",3.9,18%,34,1448,PUBLIC,4 YEAR,"$17,832","51,225"
https://www.appily.com/colleges/gpa/4-0,university of central florida,"Orlando, FL",4.0,41%,28,1264,PUBLIC,4 YEAR,"$11,108","68,346"
https://www.appily.com/colleges/gpa/4-0,the university of texas at austin,"Austin, TX",3.8,31%,30,1367,PUBLIC,4 YEAR,"$16,892","52,384"
https://www.appily.com/colleges/gpa/4-0,boston university,"Boston, MA",3.9,14%,33,1433,PRIVATE,4 YEAR,"$29,154","36,714"
https://www.appily.com/colleges/gpa/4-0,purdue universitymain campus,"West Lafayette, IN",3.8,53%,29,1321,PUBLIC,4 YEAR,"$12,294","51,528"
https://www.appily.com/colleges/gpa/4-0,new york university,"New York, NY",3.8,12%,--,1443,PRIVATE,4 YEAR,"$45,417","59,144"
https://www.appily.com/colleges/gpa/4-0,university of north carolina at chapel hill,"Chapel Hill, NC",4.0,17%,32,1402,PUBLIC,4 YEAR,"$10,038","31,705"
https://www.appily.com/colleges/gpa/4-0,princeton university,"Princeton, NJ",3.9,6%,35,1517,PRIVATE,4 YEAR,"$18,685","8,842"
https://www.appily.com/colleges/gpa/4-0,university of southern california,"Los Angeles, CA",3.9,12%,--,--,PRIVATE,4 YEAR,"$36,808","48,945"
https://www.appily.com/colleges/gpa/4-0,brown university,"Providence, RI",4.0,5%,35,1511,PRIVATE,4 YEAR,"$27,659","11,189"
https://www.appily.com/colleges/gpa/4-0,university of washingtonseattle campus,"Seattle, WA",3.8,48%,30,1356,PUBLIC,4 YEAR,"$9,661","52,319"
https://www.appily.com/colleges/gpa/4-0,university of pennsylvania,"Philadelphia, PA",3.9,7%,35,1511,PRIVATE,4 YEAR,"$24,167","28,201"
https://www.appily.com/colleges/gpa/4-0,michigan state university,"East Lansing, MI",3.8,88%,27,1223,PUBLIC,4 YEAR,"$16,655","50,023"
https://www.appily.com/colleges/gpa/4-0,northwestern university,"Evanston, IL",4.0,7%,35,1506,PRIVATE,4 YEAR,"$28,344","23,161"
https://www.appily.com/colleges/gpa/4-0,ohio state universitymain campus,"Columbus, OH",3.8,53%,31,1372,PUBLIC,4 YEAR,"$18,884","60,540"
https://www.appily.com/colleges/gpa/4-0,syracuse university,"Syracuse, NY",3.8,52%,29,1291,PRIVATE,4 YEAR,"$47,177","22,698"
https://www.appily.com/colleges/gpa/4-0,university of californiadavis,"Davis, CA",4.0,37%,27,1298,PUBLIC,4 YEAR,"$17,026","39,679"
https://www.appily.com/colleges/gpa/4-0,university of georgia,"Athens, GA",4.0,43%,31,1347,PUBLIC,4 YEAR,"$16,580","40,607"
https://www.appily.com/colleges/gpa/4-0,georgia institute of technologymain campus,"Atlanta, GA",4.0,17%,32,1418,PUBLIC,4 YEAR,"$17,140","45,296"
https://www.appily.com/colleges/gpa/4-0,florida state university,"Tallahassee, FL",4.0,25%,29,1284,PUBLIC,4 YEAR,"$12,815","44,161"
https://www.appily.com/colleges/gpa/4-0,university of miami,"Coral Gables, FL",3.8,19%,32,1371,PRIVATE,4 YEAR,"$53,682","19,402"
https://www.appily.com/colleges/gpa/4-0,san diego state university,"San Diego, CA",3.9,39%,25,1221,PUBLIC,4 YEAR,"$13,192","37,402"
https://www.appily.com/colleges/gpa/4-0,georgetown university,"Washington, DC",4.0,12%,35,1473,PRIVATE,4 YEAR,"$30,710","20,984"
https://www.appily.com/colleges/gpa/4-0,indiana universitybloomington,"Bloomington, IN",3.8,82%,28,1274,PUBLIC,4 YEAR,"$13,191","47,005"
https://www.appily.com/colleges/gpa/4-0,university of californiairvine,"Irvine, CA",4.0,21%,27,1306,PUBLIC,4 YEAR,"$13,106","35,937"
https://www.appily.com/colleges/gpa/4-0,university of oregon,"Eugene, OR",3.8,86%,24,1210,PUBLIC,4 YEAR,"$17,646","23,163"
https://www.appily.com/colleges/gpa/4-0,university of marylandcollege park,"College Park, MD",4.0,45%,33,1389,PUBLIC,4 YEAR,"$17,643","40,792"
https://www.appily.com/colleges/gpa/4-0,clemson university,"Clemson, SC",4.0,43%,31,1334,PUBLIC,4 YEAR,"$22,935","28,466"
https://www.appily.com/colleges/gpa/4-0,northeastern university,"Boston, MA",4.0,7%,34,1478,PRIVATE,4 YEAR,"$37,738","30,013"
https://www.appily.com/colleges/gpa/4-0,university of notre dame,"Notre Dame, IN",4.0,13%,34,1490,PRIVATE,4 YEAR,"$29,981","13,105"
https://www.appily.com/colleges/gpa/4-0,university of south florida,"Tampa, FL",4.0,44%,28,1297,PUBLIC,4 YEAR,"$10,004","49,600"
https://www.appily.com/colleges/gpa/4-0,university of pittsburghpittsburgh campus,"Pittsburgh, PA",4.0,49%,31,1365,PUBLIC,4 YEAR,"$22,346","33,767"
https://www.appily.com/colleges/gpa/4-0,boston college,"Chestnut Hill, MA",3.9,17%,34,1437,PRIVATE,4 YEAR,"$30,192","15,287"
https://www.appily.com/colleges/gpa/4-0,auburn university,"Auburn University, AL",4.0,71%,29,1300,PUBLIC,4 YEAR,"$24,028","31,764"
https://www.appily.com/colleges/gpa/4-0,vanderbilt university,"Nashville, TN",3.9,7%,35,1515,PRIVATE,4 YEAR,"$25,804","13,710"
https://www.appily.com/colleges/gpa/4-0,university of virginiamain campus,"Charlottesville, VA",4.0,19%,33,1436,PUBLIC,4 YEAR,"$19,043","26,082"
https://www.appily.com/colleges/gpa/4-0,johns hopkins university,"Baltimore, MD",3.9,7%,35,--,PRIVATE,4 YEAR,--,"31,275"
https://www.appily.com/colleges/gpa/4-0,louisiana state university,"Baton Rouge, LA",3.8,76%,28,1242,PUBLIC,4 YEAR,"$20,352","37,348"
https://www.appily.com/colleges/gpa/4-0,virginia polytechnic institute and state university,"Blacksburg, VA",4.0,57%,28,1292,PUBLIC,4 YEAR,"$20,247","38,170"
https://www.appily.com/colleges/gpa/4-0,emory university,"Atlanta, GA",3.8,11%,32,1453,PRIVATE,4 YEAR,"$25,672","14,841"
https://www.appily.com/colleges/gpa/4-0,university of iowa,"Iowa City, IA",3.8,86%,26,1235,PUBLIC,4 YEAR,"$17,452","30,015"
https://www.appily.com/colleges/gpa/4-0,university of californiasan diego,"La Jolla, CA",3.9,24%,30,1375,PUBLIC,4 YEAR,"$15,222","42,006"
https://www.appily.com/colleges/gpa/4-0,university of san diego,"San Diego, CA",4.0,53%,30,1299,PRIVATE,4 YEAR,"$37,547","8,815"
https://www.appily.com/colleges/gpa/4-0,depaul university,"Chicago, IL",3.8,70%,25,1180,PRIVATE,4 YEAR,"$33,319","20,917"
https://www.appily.com/colleges/gpa/4-0,massachusetts institute of technology,"Cambridge, MA",4.0,4%,36,1547,PRIVATE,4 YEAR,"$19,998","11,858"
https://www.appily.com/colleges/gpa/4-0,rutgers universitynew brunswick,"New Brunswick, NJ",3.8,66%,29,1322,PUBLIC,4 YEAR,"$17,835","50,637"
https://www.appily.com/colleges/gpa/4-0,university of denver,"Denver, CO",3.8,78%,29,1295,PRIVATE,4 YEAR,"$38,322","13,734"
https://www.appily.com/colleges/gpa/4-0,drexel university,"Philadelphia, PA",3.8,80%,29,1295,PRIVATE,4 YEAR,"$39,463","22,344"
https://www.appily.com/colleges/gpa/4-0,the university of tennesseeknoxville,"Knoxville, TN",4.0,68%,29,1276,PUBLIC,4 YEAR,"$21,133","33,805"
https://www.appily.com/colleges/gpa/4-0,north carolina state university at raleigh,"Raleigh, NC",3.9,47%,29,1349,PUBLIC,4 YEAR,"$14,600","36,700"
https://www.appily.com/colleges/gpa/4-0,fordham university,"Bronx, NY",3.8,59%,33,1436,PRIVATE,4 YEAR,"$13,087","16,556"
https://www.appily.com/colleges/gpa/4-0,university of colorado boulder,"Boulder, CO",3.8,76%,31,1330,PUBLIC,4 YEAR,"$21,198","38,428"
https://www.appily.com/colleges/gpa/4-0,florida international university,"Miami, FL",4.0,64%,26,1198,PUBLIC,4 YEAR,"$8,988","55,609"
https://www.appily.com/colleges/gpa/4-0,florida atlantic university,"Boca Raton, FL",3.8,81%,24,1166,PUBLIC,4 YEAR,"$11,451","29,592"
https://www.appily.com/colleges/gpa/4-0,university of californiasanta barbara,"Santa Barbara, CA",4.0,26%,30,1370,PUBLIC,4 YEAR,"$17,223","26,420"
https://www.appily.com/colleges/gpa/4-0,brigham young university,"Provo, UT",3.9,67%,30,1326,PRIVATE,4 YEAR,"$13,150","34,464"
https://www.appily.com/colleges/gpa/4-0,dartmouth college,"Hanover, NH",4.0,6%,35,1500,PRIVATE,4 YEAR,"$24,525","6,744"
https://www.appily.com/colleges/gpa/4-0,university of delaware,"Newark, DE",4.0,74%,28,1261,PUBLIC,4 YEAR,"$19,747","24,039"
https://www.appily.com/colleges/gpa/4-0,california polytechnic state universitysan luis obispo,"San Luis Obispo, CA",4.0,30%,30,1342,PUBLIC,4 YEAR,"$20,491","22,000"
https://www.appily.com/colleges/gpa/4-0,hofstra university,"Hempstead, NY",3.8,69%,28,1262,PRIVATE,4 YEAR,"$53,310","10,238"
https://www.appily.com/colleges/gpa/4-0,university of californiariverside,"Riverside, CA",3.9,69%,25,1239,PUBLIC,4 YEAR,"$11,948","26,809"
https://www.appily.com/colleges/gpa/4-0,tufts university,"Medford, MA",4.0,10%,33,1472,PRIVATE,4 YEAR,"$32,720","13,431"
https://www.appily.com/colleges/gpa/4-0,carnegie mellon university,"Pittsburgh, PA",3.9,11%,34,1513,PRIVATE,4 YEAR,"$36,983","16,002"
https://www.appily.com/colleges/gpa/4-0,nova southeastern university,"Fort Lauderdale, FL",3.9,76%,25,1178,PRIVATE,4 YEAR,"$26,317","20,948"
https://www.appily.com/colleges/gpa/4-0,miami universityoxford,"Oxford, OH",3.9,88%,28,1297,PUBLIC,4 YEAR,"$24,345","19,107"
https://www.appily.com/colleges/gpa/4-0,united states military academy,"West Point, NY",4.0,12%,32,1284,PUBLIC,4 YEAR,$0,"4,393"
https://www.appily.com/colleges/gpa/4-0,university of wisconsinmadison,"Madison, WI",3.9,49%,30,1371,PUBLIC,4 YEAR,"$14,030","48,956"
https://www.appily.com/colleges/gpa/4-0,university of connecticut,"Storrs Mansfield, CT",3.8,55%,30,1312,PUBLIC,4 YEAR,"$22,233","27,003"
https://www.appily.com/colleges/gpa/4-0,wesleyan university,"Middletown, CT",3.9,14%,32,1415,PRIVATE,4 YEAR,"$22,845","3,253"
https://www.appily.com/colleges/gpa/4-0,appalachian state university,"Boone, NC",3.9,83%,25,1202,PUBLIC,4 YEAR,"$10,687","20,436"
https://www.appily.com/colleges/gpa/4-0,university of californiasanta cruz,"Santa Cruz, CA",3.9,47%,28,1306,PUBLIC,4 YEAR,"$17,842","19,478"
https://www.appily.com/colleges/gpa/4-0,university at buffalo,"Buffalo, NY",3.8,68%,25,1254,PUBLIC,4 YEAR,"$18,119","32,099"
https://www.appily.com/colleges/gpa/4-0,towson university,"Towson, MD",3.8,79%,23,1139,PUBLIC,4 YEAR,"$16,082","19,793"
