company,school_1,alumnicount_1,school_2,alumnicount_2,school_3,alumnicount_3,school_4,alumnicount_4,school_5,alumnicount_5,school_6,alumnicount_6,school_7,alumnicount_7,school_8,alumnicount_8,school_9,alumnicount_9,school_10,alumnicount_10,school_11,alumnicount_11,school_12,alumnicount_12,school_13,alumnicount_13,school_14,alumnicount_14,school_15,alumnicount_15,id
3M,university of minnesota,1435,university of st. thomas,449,wroclaw university of economics and business,446,university of minnesota - carlson school of management,405,wrocław university of science and technology,385,university of wroclaw,359,university of wisconsin-madison,343,iowa state university,341,university of wisconsin-river falls,250,university of minnesota duluth,249,universidade estadual de campinas,194,fgv - fundação getulio vargas,177,tecnológico de monterrey,153,university of st. thomas - opus college of business,146,pontifícia universidade católica de campinas,120,1
A. O. Smith,tennessee technological university,57,middle tennessee state university (mtsu),45,northeast state community college,36,east tennessee state university,35,university of phoenix,35,"university of tennessee, knoxville",34,austin peay state university,34,university of wisconsin-milwaukee,28,arizona state university,27,marquette university,19,nashville state community college,17,volunteer state community college,16,the ohio state university,13,university of wisconsin-whitewater,13,georgia institute of technology,11,2
Abbott Laboratories,the ohio state university,692,university of minnesota,610,university of illinois urbana-champaign,568,university of mumbai,437,texas a&m university,403,purdue university,352,karachi university,306,fgv - fundação getulio vargas,283,"university of california, berkeley",271,northwestern university,266,university of southern california,215,tecnológico de monterrey,185,northeastern university,183,northwestern university - kellogg school of management,150,svkm's narsee monjee institute of management studies (nmims),135,3
AbbVie,university of illinois urbana-champaign,825,university of illinois chicago,609,northwestern university,401,purdue university,365,university of wisconsin-madison,340,depaul university,339,northern illinois university,333,sapienza università di roma,329,university of michigan,259,rutgers university,231,lake forest graduate school of management,220,"university of california, berkeley",192,northwestern university - kellogg school of management,179,fgv - fundação getulio vargas,165,cornell university,157,4
Accenture,university of mumbai,5819,delhi university,4598,savitribai phule pune university,4318,university of buenos aires,3425,visvesvaraya technological university,3286,kendriya vidyalaya,3132,the institute of chartered accountants of india,2544,indira gandhi national open university,1939,guru gobind singh indraprastha university,1311,svkm's narsee monjee institute of management studies (nmims),1107,"indian institute of management, calcutta",1060,institute of cost accountants of india,1007,northwestern university - kellogg school of management,753,insead,731,xlri jamshedpur,592,5
Adobe Inc.,san josé state university,669,brigham young university,592,"university of california, berkeley",481,stanford university,373,delhi university,373,"birla institute of technology and science, pilani",324,ucla,268,kendriya vidyalaya,243,university of southern california,225,carnegie mellon university,211,"university of california, berkeley, haas school of business",202,guru gobind singh indraprastha university,199,northeastern university,163,vellore institute of technology,134,northwestern university - kellogg school of management,127,6
Advanced Micro Devices,university of toronto,744,the university of texas at austin,610,texas a&m university,379,san josé state university,371,"birla institute of technology and science, pilani",366,jawaharlal nehru technological university,356,university of waterloo,323,university of southern california,275,visvesvaraya technological university,274,vellore institute of technology,257,arizona state university,228,georgia institute of technology,211,north carolina state university,199,stanford university,192,portland state university,149,7
AES Corporation,university of buenos aires,94,wright state university,63,university of colorado boulder,51,universidad tecnológica de panamá,45,university of utah,41,university of dayton,41,university of virginia darden school of business,40,purdue university,36,sinclair community college,35,universidad de el salvador,35,indiana university indianapolis,32,uade,30,colorado state university,28,universidad tecnológica nacional,28,fgv - fundação getulio vargas,17,8
Aflac,columbus state university,459,university of phoenix,217,troy university,182,auburn university,124,the university of georgia,80,columbus technical college,71,university of south carolina,66,penn state university,62,chattahoochee valley community college,50,florida state university,49,university of maryland,47,texas a&m university,47,university of florida,44,michigan state university,39,kaplan university,38,9
Agilent Technologies,university of delaware,185,delhi university,171,san josé state university,133,"university of california, davis",121,københavns universitet - university of copenhagen,120,colorado state university,101,"university of california, berkeley",91,uc santa barbara,87,dtu - technical university of denmark,86,the institute of chartered accountants of india,83,penn state university,80,university of colorado boulder,78,uc san diego,69,national university of singapore,57,monash university,50,10
Air Products,penn state university,281,lehigh university,207,university of houston,90,desales university,86,drexel university,80,villanova university,75,cornell university,65,texas a&m university,65,purdue university,63,lehigh carbon community college,59,muhlenberg college,58,university of delaware,55,moravian university,53,northampton community college,52,universitat de barcelona,48,11
Airbnb,"university of california, berkeley",277,delhi university,205,stanford university,180,ucla,155,university of southern california,128,university of washington,127,carnegie mellon university,127,new york university,114,harvard university,111,cornell university,104,the university of texas at austin,100,san francisco state university,92,columbia university,87,university of illinois urbana-champaign,86,georgia institute of technology,83,12
Archer Daniels Midland,millikin university,282,university of illinois urbana-champaign,271,fgv - fundação getulio vargas,262,illinois state university,187,anhanguera educacional,185,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,13
Akamai Technologies,agh university of krakow,252,northeastern university,235,visvesvaraya technological university,168,jagiellonian university,132,boston university,116,krakow university of economics,111,universidad latina de costa rica,98,pes university,86,universidad de costa rica ucr,78,kendriya vidyalaya,72,"birla institute of technology and science, pilani",70,tel aviv university,69,universidad fidélitas,67,tecnológico de costa rica,63,university of massachusetts amherst,58,14
Albemarle Corporation,louisiana state university,115,universidad católica del norte,108,universidad de antofagasta,76,pontificia universidad católica de chile,75,inacap,64,universidad de chile,63,budapest university of economics and business,51,southern arkansas university,51,texas a&m university,51,university of north carolina at charlotte,41,universidad tecnica federico santa maria,37,corvinus university of budapest,37,eötvös loránd university,36,north carolina state university,35,curtin university,31,15
Alexandria Real Estate Equities,university of southern california,23,"california state university, northridge",19,ucla,18,uc santa barbara,18,"university of california, berkeley",12,uc irvine,12,usc marshall school of business,11,uc san diego,11,california state polytechnic university-pomona,10,san diego state university,10,university of washington,9,"california state university, los angeles",8,university of san diego,8,wentworth institute of technology,7,san josé state university,7,16
