company,school_1,alumnicount_1,school_2,alumnicount_2,school_3,alumnicount_3,school_4,alumnicount_4,school_5,alumnicount_5,school_6,alumnicount_6,school_7,alumnicount_7,school_8,alumnicount_8,school_9,alumnicount_9,school_10,alumnicount_10,school_11,alumnicount_11,school_12,alumnicount_12,school_13,alumnicount_13,school_14,alumnicount_14,school_15,alumnicount_15,id
3M,university of minnesota,1435.0,university of st thomas,449.0,wroclaw university of economics and business,446.0,university of minnesota carlson school of management,405.0,wrocaw university of science and technology,385.0,university of wroclaw,359.0,university of wisconsinmadison,343.0,iowa state university,341.0,university of wisconsinriver falls,250.0,university of minnesota duluth,249.0,universidade estadual de campinas,194.0,fgv fundacao getulio vargas,177.0,tecnologico de monterrey,153.0,university of st thomas opus college of business,146.0,pontificia universidade catolica de campinas,120.0,1
A. O. Smith,tennessee technological university,57.0,middle tennessee state university mtsu,45.0,northeast state community college,36.0,east tennessee state university,35.0,university of phoenix,35.0,university of tennessee knoxville,34.0,austin peay state university,34.0,university of wisconsinmilwaukee,28.0,arizona state university,27.0,marquette university,19.0,nashville state community college,17.0,volunteer state community college,16.0,the ohio state university,13.0,university of wisconsinwhitewater,13.0,georgia institute of technology,11.0,2
Abbott Laboratories,the ohio state university,692.0,university of minnesota,610.0,university of illinois urbanachampaign,568.0,university of mumbai,437.0,texas am university,403.0,purdue university,352.0,karachi university,306.0,fgv fundacao getulio vargas,283.0,university of california berkeley,271.0,northwestern university,266.0,university of southern california,215.0,tecnologico de monterrey,185.0,northeastern university,183.0,northwestern university kellogg school of management,150.0,svkms narsee monjee institute of management studies nmims,135.0,3
AbbVie,university of illinois urbanachampaign,825.0,university of illinois chicago,609.0,northwestern university,401.0,purdue university,365.0,university of wisconsinmadison,340.0,depaul university,339.0,northern illinois university,333.0,sapienza universita di roma,329.0,university of michigan,259.0,rutgers university,231.0,lake forest graduate school of management,220.0,university of california berkeley,192.0,northwestern university kellogg school of management,179.0,fgv fundacao getulio vargas,165.0,cornell university,157.0,4
Accenture,university of mumbai,5819.0,delhi university,4598.0,savitribai phule pune university,4318.0,university of buenos aires,3425.0,visvesvaraya technological university,3286.0,kendriya vidyalaya,3132.0,the institute of chartered accountants of india,2544.0,indira gandhi national open university,1939.0,guru gobind singh indraprastha university,1311.0,svkms narsee monjee institute of management studies nmims,1107.0,indian institute of management calcutta,1060.0,institute of cost accountants of india,1007.0,northwestern university kellogg school of management,753.0,insead,731.0,xlri jamshedpur,592.0,5
Adobe Inc.,san jose state university,669.0,brigham young university,592.0,university of california berkeley,481.0,stanford university,373.0,delhi university,373.0,birla institute of technology and science pilani,324.0,ucla,268.0,kendriya vidyalaya,243.0,university of southern california,225.0,carnegie mellon university,211.0,university of california berkeley haas school of business,202.0,guru gobind singh indraprastha university,199.0,northeastern university,163.0,vellore institute of technology,134.0,northwestern university kellogg school of management,127.0,6
Advanced Micro Devices,university of toronto,744.0,the university of texas at austin,610.0,texas am university,379.0,san jose state university,371.0,birla institute of technology and science pilani,366.0,jawaharlal nehru technological university,356.0,university of waterloo,323.0,university of southern california,275.0,visvesvaraya technological university,274.0,vellore institute of technology,257.0,arizona state university,228.0,georgia institute of technology,211.0,north carolina state university,199.0,stanford university,192.0,portland state university,149.0,7
AES Corporation,university of buenos aires,94.0,wright state university,63.0,university of colorado boulder,51.0,universidad tecnologica de panama,45.0,university of utah,41.0,university of dayton,41.0,university of virginia darden school of business,40.0,purdue university,36.0,sinclair community college,35.0,universidad de el salvador,35.0,indiana university indianapolis,32.0,uade,30.0,colorado state university,28.0,universidad tecnologica nacional,28.0,fgv fundacao getulio vargas,17.0,8
Aflac,columbus state university,459.0,university of phoenix,217.0,troy university,182.0,auburn university,124.0,the university of georgia,80.0,columbus technical college,71.0,university of south carolina,66.0,penn state university,62.0,chattahoochee valley community college,50.0,florida state university,49.0,university of maryland,47.0,texas am university,47.0,university of florida,44.0,michigan state university,39.0,kaplan university,38.0,9
Agilent Technologies,university of delaware,185.0,delhi university,171.0,san jose state university,133.0,university of california davis,121.0,kbenhavns universitet university of copenhagen,120.0,colorado state university,101.0,university of california berkeley,91.0,uc santa barbara,87.0,dtu technical university of denmark,86.0,the institute of chartered accountants of india,83.0,penn state university,80.0,university of colorado boulder,78.0,uc san diego,69.0,national university of singapore,57.0,monash university,50.0,10
