School,Has_Salary_Data,Median_Earnings_1yr,Median_Earnings_5yr,Avg_GPA,Avg_SAT,Fortune500_Hirers,Total_Enrollment,Admission_Rate,Admission_Rate,Avg_Net_Price,Latitude,Longitude
carnegie mellon university,True,171264.0,251632.0,3.9,1513.0,"['Netflix', 'Meta Platforms', 'Adobe Inc.', 'Airbnb', 'Nvidia']","16,002",0.11,0.11,36983.0,40.44357,-79.941993
massachusetts institute of technology,True,154492.0,220064.0,4.0,1547.0,"['Vertex Pharmaceuticals', 'Alphabet Inc. (Class C)', 'Palantir Technologies', 'Amazon', 'Veralto', 'Microsoft', 'Moderna', 'Alphabet Inc. (Class A)', 'IBM']","11,858",0.04,0.04,19998.0,42.359243,-71.093226
harvard university,True,152251.0,219550.0,4.0,1529.0,"['Paramount Global', 'Pfizer', 'Berkshire Hathaway', 'Alphabet Inc. (Class C)', 'Blackstone Inc.', 'Vertex Pharmaceuticals', 'Amazon', 'Roper Technologies', 'Meta Platforms', 'Morgan Stanley', 'Goldman Sachs', 'Microsoft', 'Alphabet Inc. (Class A)', 'KKR', 'Airbnb', 'IBM']","30,631",0.03,0.03,18037.0,42.374471,-71.118313
brown university,True,151065.0,271601.0,4.0,1511.0,[],"11,189",0.05,0.05,27659.0,41.82617,-71.40385
princeton university,True,146624.0,,3.9,1517.0,[],"8,842",0.06,0.06,18685.0,40.348732,-74.659365
pomona college,True,143084.0,,4.0,1480.0,[],"1,716",0.07,0.07,30392.0,34.099027,-117.714556
stanford university,True,138613.0,247797.0,3.9,1497.0,"['eBay', 'HP Inc.', 'Cisco', 'Alphabet Inc. (Class C)', 'Tesla, Inc.', 'Visa Inc.', 'KKR', 'Gilead Sciences', 'Intuitive Surgical', 'Amazon', 'Meta Platforms', 'Adobe Inc.', 'Microsoft', 'Lam Research', 'Airbnb', 'Nvidia', 'Apple Inc.', 'Netflix', 'Western Digital', 'Walmart', 'Intel', 'Intuit', 'KLA Corporation', 'Keysight Technologies', 'Juniper Networks', 'Salesforce', 'Advanced Micro Devices', 'Palantir Technologies', 'Alphabet Inc. (Class A)', 'Uber']","18,283",0.04,0.04,15133.0,37.429434,-122.167359
university of southern california,True,137284.0,180906.0,3.9,,"['eBay', 'Prologis', 'Cisco', 'Walt Disney Company (The)', 'Uber', 'Tesla, Inc.', 'Visa Inc.', 'Fox Corporation (Class A)', 'Fox Corporation (Class B)', 'Gilead Sciences', 'Intuitive Surgical', 'Abbott Laboratories', 'Alexandria Real Estate Equities', 'Meta Platforms', 'Adobe Inc.', 'Warner Bros. Discovery', 'Edison International', 'Airbnb', 'Nvidia', 'Healthpeak Properties', 'Boeing', 'Sempra', 'Apple Inc.', 'CrowdStrike', 'Edwards Lifesciences', 'Netflix', 'Monster Beverage', 'Live Nation Entertainment', 'Western Digital', 'Intel', 'Intuit', 'Dexcom', 'Medtronic', 'Juniper Networks', 'Salesforce', 'Advanced Micro Devices', 'Las Vegas Sands', 'Expedia Group', 'Northrop Grumman', 'Electronic Arts', 'Essex Property Trust', 'CBRE Group', 'Match Group', 'Molina Healthcare', 'Amgen', 'Fortinet', 'Public Storage']","48,945",0.12,0.12,36808.0,34.021281,-118.284169
dartmouth college,True,132919.0,192848.0,4.0,1500.0,[],"6,744",0.06,0.06,24525.0,43.704115,-72.289949
university of pennsylvania,True,124678.0,171166.0,3.9,1511.0,"['Pfizer', 'Johnson & Johnson', 'Palantir Technologies', 'Morgan Stanley', 'Goldman Sachs', 'Comcast', 'Merck & Co.', 'Incyte', 'KKR', 'MarketAxess']","28,201",0.07,0.07,24167.0,39.950929,-75.19391
