School,Recommendation_Tier,Has_Salary_Data,Median_Earnings_1yr,Median_Earnings_5yr,Avg_GPA,Avg_SAT,Fortune500_Hirers,Total_Enrollment,Admission_Rate,Avg_Net_Price,Latitude,Longitude
auburn university,Safety,False,,,4.0,1300.0,"['Norfolk Southern Railway', 'Weyerhaeuser', 'Aflac', 'Genuine Parts Company', 'Regions Financial Corporation', 'International Paper', 'Mid-America Apartment Communities', 'United Rentals', 'Vulcan Materials Company', 'Smurfit WestRock', 'Mohawk Industries', 'J.B. Hunt', 'Home Depot (The)', 'Global Payments', 'Teledyne Technologies', 'Delta Air Lines', 'Hubbell Incorporated', 'Southern Company']","31,764",0.71,24028.0,32.599378,-85.488258
northern arizona university,Reach,False,,,3.7,1130.0,"['Deckers Brands', 'GoDaddy', 'Freeport-McMoRan']","28,086",0.8,15692.0,35.188449,-111.653724
san francisco state university,Reach,True,41565.0,59685.0,3.4,1046.0,"['Gilead Sciences', 'Healthpeak Properties', 'Ross Stores', 'PG&E Corporation', 'Airbnb', 'Essex Property Trust', 'Autodesk', 'Workday, Inc.']","25,282",0.94,14757.0,37.721224,-122.476799
san jose state university,Reach,False,,,3.5,1139.0,"['Cadence Design Systems', 'PayPal', 'Intel', 'Fortinet', 'KLA Corporation', 'Hewlett Packard Enterprise', 'Visa Inc.', 'Western Digital', 'Costco', 'Advanced Micro Devices', 'Supermicro', 'Tesla, Inc.', 'F5, Inc.', 'Equinix', 'Gilead Sciences', 'Apple Inc.', 'Trimble Inc.', 'Bio-Techne', 'Federal Realty Investment Trust', 'eBay', 'Workday, Inc.', 'Arista Networks', 'CrowdStrike', 'NetApp', 'Verisign', 'Netflix', 'Cisco', 'Adobe Inc.', 'Juniper Networks', 'Applied Materials', 'Intuitive Surgical', 'Palo Alto Networks', 'Cooper Companies (The)', 'Essex Property Trust', 'Agilent Technologies', 'Expeditors International', 'Lam Research', 'Synopsys', 'Walmart', 'Nvidia', 'Broadcom', 'Danaher Corporation', 'Ross Stores', 'Alexandria Real Estate Equities', 'Microchip Technology', 'Monolithic Power Systems', 'PG&E Corporation', 'ServiceNow', 'Intuit', 'Meta Platforms']","35,751",0.77,15995.0,37.336569,-121.880621
university of connecticut,Match,True,35618.0,73079.0,3.8,1312.0,"['W. R. Berkley Corporation', 'CVS Health', 'Medtronic', 'FactSet', 'Hartford (The)', 'Cigna', 'Eversource Energy', 'RTX Corporation', 'Vertex Pharmaceuticals', 'Ametek', 'General Dynamics', 'Otis Worldwide', 'Citizens Financial Group', 'Travelers Companies (The)', 'Hubbell Incorporated']","27,003",0.55,22233.0,41.809098,-72.249948
university of delaware,Safety,False,,,4.0,1261.0,"['International Flavors & Fragrances', 'American Water Works', 'DuPont', 'Exelon', 'Merck & Co.', 'NVR, Inc.', 'Air Products', 'MarketAxess', 'FMC Corporation', 'Hologic', 'Incyte', 'M&T Bank', 'Waters Corporation', 'Agilent Technologies']","24,039",0.74,19747.0,39.679577,-75.752822
eckerd college,Match,False,,,3.6,1210.0,[],"1,993",0.65,43732.0,27.715798,-82.687043
university of florida,Match,True,23809.0,58561.0,3.9,1394.0,"['PulteGroup', 'Gartner', 'Aflac', 'D. R. Horton', 'Kimco Realty', 'Fidelity National Information Services', 'Motorola Solutions', 'Home Depot (The)', 'Walt Disney Company (The)', 'Delta Air Lines', 'Franklin Resources', 'Allstate', 'Duke Energy', 'Walgreens Boots Alliance', 'HCA Healthcare', 'NextEra Energy', 'Mosaic Company (The)', 'Royal Caribbean Group', 'Norwegian Cruise Line Holdings', 'Carnival', 'Texas Instruments', 'L3Harris', 'Brown & Brown', 'Regency Centers', 'Lennar', 'CSX Corporation', 'CVS Health', 'Roper Technologies', 'Lockheed Martin', 'Raymond James Financial', 'Rollins, Inc.', 'Darden Restaurants']","55,211",0.23,10075.0,29.64629,-82.347911
berry college,Match,True,33258.0,,3.8,1245.0,[],"2,360",0.66,24605.0,34.290414,-85.189202
university of georgia,Safety,False,,,4.0,1347.0,[],"40,607",0.43,16580.0,33.956262,-83.374039
university of hawaii at manoa,Match,False,,,3.7,1170.0,[],"19,074",0.73,15193.0,21.298598,-157.818979
idaho state university,Safety,False,,,3.4,1460.0,"['Lamb Weston', 'ON Semiconductor']","12,301",0.99,12999.0,42.863832,-112.432312
university of idaho,Reach,False,,,3.4,1137.0,"['Lamb Weston', 'Micron Technology']","11,507",0.74,14929.0,46.727406,-117.014167
olivet nazarene university,Reach,False,,,3.5,1098.0,[],"3,255",0.58,20006.0,41.155237,-87.875165
