standard_name,niche_communications_rank,niche_communications_acceptance_rate,niche_communications_sat_low,niche_communications_sat_high,niche_communications_net_cost,niche_engineering_rank,niche_engineering_acceptance_rate,niche_engineering_sat_low,niche_engineering_sat_high,niche_engineering_net_cost,niche_chemistry_rank,niche_chemistry_acceptance_rate,niche_chemistry_sat_low,niche_chemistry_sat_high,niche_chemistry_net_cost,life_sciences_rankings_rank,life_sciences_rankings_country,life_sciences_rankings_overall,life_sciences_rankings_teaching,life_sciences_rankings_research_environment,life_sciences_rankings_research_quality,life_sciences_rankings_industry,life_sciences_rankings_international_outlook,niche_anthropology_rank,niche_anthropology_acceptance_rate,niche_anthropology_sat_low,niche_anthropology_sat_high,niche_anthropology_net_cost,psychology_rankings_rank,psychology_rankings_country,psychology_rankings_overall,psychology_rankings_teaching,psychology_rankings_research_environment,psychology_rankings_research_quality,psychology_rankings_industry,psychology_rankings_international_outlook,business_and_economics_rankings_rank,business_and_economics_rankings_country,business_and_economics_rankings_overall,business_and_economics_rankings_teaching,business_and_economics_rankings_research_environment,business_and_economics_rankings_research_quality,business_and_economics_rankings_industry,business_and_economics_rankings_international_outlook,niche_computer_science_rank,niche_computer_science_acceptance_rate,niche_computer_science_sat_low,niche_computer_science_sat_high,niche_computer_science_net_cost,law_rankings_rank,law_rankings_country,law_rankings_overall,law_rankings_teaching,law_rankings_research_environment,law_rankings_research_quality,law_rankings_industry,law_rankings_international_outlook,computer_science_rankings_rank,computer_science_rankings_country,computer_science_rankings_overall,computer_science_rankings_teaching,computer_science_rankings_research_environment,computer_science_rankings_research_quality,computer_science_rankings_industry,computer_science_rankings_international_outlook,niche_accounting_rank,niche_accounting_acceptance_rate,niche_accounting_sat_low,niche_accounting_sat_high,niche_accounting_net_cost,niche_biology_rank,niche_biology_acceptance_rate,niche_biology_sat_low,niche_biology_sat_high,niche_biology_net_cost,niche_english_rank,niche_english_acceptance_rate,niche_english_sat_low,niche_english_sat_high,niche_english_net_cost,qs_world_university_rankings_2_2_for_qs_com_2_index,qs_world_university_rankings_2_2_for_qs_com_2_rank_display,qs_world_university_rankings_2_2_for_qs_com_2_rank_display2,qs_world_university_rankings_2_2_for_qs_com_2_location_code,qs_world_university_rankings_2_2_for_qs_com_2_location,qs_world_university_rankings_2_2_for_qs_com_2_size,qs_world_university_rankings_2_2_for_qs_com_2_focus,qs_world_university_rankings_2_2_for_qs_com_2_research,qs_world_university_rankings_2_2_for_qs_com_2_status,qs_world_university_rankings_2_2_for_qs_com_2_ar_score,qs_world_university_rankings_2_2_for_qs_com_2_ar_rank,qs_world_university_rankings_2_2_for_qs_com_2_er_score,qs_world_university_rankings_2_2_for_qs_com_2_er_rank,qs_world_university_rankings_2_2_for_qs_com_2_fsr_score,qs_world_university_rankings_2_2_for_qs_com_2_fsr_rank,qs_world_university_rankings_2_2_for_qs_com_2_cpf_score,qs_world_university_rankings_2_2_for_qs_com_2_cpf_rank,qs_world_university_rankings_2_2_for_qs_com_2_ifr_score,qs_world_university_rankings_2_2_for_qs_com_2_ifr_rank,qs_world_university_rankings_2_2_for_qs_com_2_isr_score,qs_world_university_rankings_2_2_for_qs_com_2_isr_rank,qs_world_university_rankings_2_2_for_qs_com_2_irn_score,qs_world_university_rankings_2_2_for_qs_com_2_irn_rank,qs_world_university_rankings_2_2_for_qs_com_2_ger_score,qs_world_university_rankings_2_2_for_qs_com_2_ger_rank,qs_world_university_rankings_2_2_for_qs_com_2_sus_score,qs_world_university_rankings_2_2_for_qs_com_2_sus_rank,qs_world_university_rankings_2_2_for_qs_com_2_overall_score,qs_world_university_rankings_2_2_for_qs_com_2_unnamed_29,niche_architecture_rank,niche_architecture_acceptance_rate,niche_architecture_sat_low,niche_architecture_sat_high,niche_architecture_net_cost,engineering_rankings_rank,engineering_rankings_country,engineering_rankings_overall,engineering_rankings_teaching,engineering_rankings_research_environment,engineering_rankings_research_quality,engineering_rankings_industry,engineering_rankings_international_outlook,niche_religious_studies_rank,niche_religious_studies_acceptance_rate,niche_religious_studies_sat_low,niche_religious_studies_sat_high,niche_religious_studies_net_cost,niche_business_rank,niche_business_acceptance_rate,niche_business_sat_low,niche_business_sat_high,niche_business_net_cost,niche_political_science_rank,niche_political_science_acceptance_rate,niche_political_science_sat_low,niche_political_science_sat_high,niche_political_science_net_cost,niche_education_rank,niche_education_acceptance_rate,niche_education_sat_low,niche_education_sat_high,niche_education_net_cost,arts_and_humanities_rankings_rank,arts_and_humanities_rankings_country,arts_and_humanities_rankings_overall,arts_and_humanities_rankings_teaching,arts_and_humanities_rankings_research_environment,arts_and_humanities_rankings_research_quality,arts_and_humanities_rankings_industry,arts_and_humanities_rankings_international_outlook,niche_math_rank,niche_math_acceptance_rate,niche_math_sat_low,niche_math_sat_high,niche_math_net_cost,niche_culinary_arts_rank,niche_culinary_arts_acceptance_rate,niche_culinary_arts_sat_low,niche_culinary_arts_sat_high,niche_culinary_arts_net_cost,niche_psychology_rank,niche_psychology_acceptance_rate,niche_psychology_sat_low,niche_psychology_sat_high,niche_psychology_net_cost,social_sciences_rankings_rank,social_sciences_rankings_country,social_sciences_rankings_overall,social_sciences_rankings_teaching,social_sciences_rankings_research_environment,social_sciences_rankings_research_quality,social_sciences_rankings_industry,social_sciences_rankings_international_outlook,clinical_pre_clinical_health_rankings_rank,clinical_pre_clinical_health_rankings_country,clinical_pre_clinical_health_rankings_overall,clinical_pre_clinical_health_rankings_teaching,clinical_pre_clinical_health_rankings_research_environment,clinical_pre_clinical_health_rankings_research_quality,clinical_pre_clinical_health_rankings_industry,clinical_pre_clinical_health_rankings_international_outlook,niche_criminal_justice_rank,niche_criminal_justice_acceptance_rate,niche_criminal_justice_sat_low,niche_criminal_justice_sat_high,niche_criminal_justice_net_cost,niche_agricultural_sciences_rank,niche_agricultural_sciences_acceptance_rate,niche_agricultural_sciences_sat_low,niche_agricultural_sciences_sat_high,niche_agricultural_sciences_net_cost,sat_data_usgov_students_submitting_act_scores_number,sat_data_usgov_students_submitting_act_scores_percent,sat_data_usgov_act_composite_25th_percentile,sat_data_usgov_act_composite,sat_data_usgov_act_english_25th_percentile,sat_data_usgov_act_english,sat_data_usgov_act_math_25th_percentile,sat_data_usgov_act_math,physical_sciences_rankings_rank,physical_sciences_rankings_country,physical_sciences_rankings_overall,physical_sciences_rankings_teaching,physical_sciences_rankings_research_environment,physical_sciences_rankings_research_quality,physical_sciences_rankings_industry,physical_sciences_rankings_international_outlook,university_rankings_rank,university_rankings_country,university_rankings_overall,university_rankings_teaching,university_rankings_research_environment,university_rankings_research_quality,university_rankings_industry,university_rankings_international_outlook,niche_best_colleges_rank,niche_best_colleges_acceptance_rate,niche_best_colleges_sat_low,niche_best_colleges_sat_high,niche_best_colleges_net_cost,niche_economics_rank,niche_economics_acceptance_rate,niche_economics_sat_low,niche_economics_sat_high,niche_economics_net_cost,niche_art_rank,niche_art_acceptance_rate,niche_art_sat_low,niche_art_sat_high,niche_art_net_cost,niche_design_rank,niche_design_acceptance_rate,niche_design_sat_low,niche_design_sat_high,niche_design_net_cost,niche_music_rank,niche_music_acceptance_rate,niche_music_sat_low,niche_music_sat_high,niche_music_net_cost,act_data_usgov_students_submitting_act_scores_number,act_data_usgov_students_submitting_act_scores_percent,act_data_usgov_act_composite_25th_percentile,act_data_usgov_act_composite,act_data_usgov_act_english_25th_percentile,act_data_usgov_act_english,act_data_usgov_act_math_25th_percentile,act_data_usgov_act_math,us_news_detail_tuition_fee,us_news_detail_undergrad_enrollment,us_news_detail_acceptance_rate,us_news_detail_national_universities_rank,us_news_detail_best_value_schools_rank,us_news_detail_application_deadline,us_news_detail_sat_low,us_news_detail_sat_high,us_news_detail_act_low,us_news_detail_act_high,us_news_detail_high_school_gpa,us_news_detail_food_and_housing,us_news_detail_gender_distribution,us_news_detail_minority_enrollment,us_news_detail_white,us_news_detail_asian,us_news_detail_international,us_news_detail_hispanic,us_news_detail_black,us_news_detail_two_or_more,us_news_detail_unknown,education_rankings_rank,education_rankings_country,education_rankings_overall,education_rankings_teaching,education_rankings_research_environment,education_rankings_research_quality,education_rankings_industry,education_rankings_international_outlook,id
aalborg university,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251–300,Denmark,42.2–44.4,25.7,27.0,64.5,48.7,53.9,251–300,Denmark,41.5–43.9,68.1,67.5,67.5,34.2,22.7,,,,,,251–300,Denmark,32.8–36.6,18.9,28.7,57.4,55.9,50.8,176–200,Denmark,49.3–51.0,76.5,82.1,75.0,32.0,28.7,,,,,,,,,,,,,,,,306.0,306,336,Denmark,Europe,L,FC,VH,A,19.9,450,20.8,439,25.5,580,53.2,241,77.3,250,14.9,627,92.1,134,23.3,486,75.6,183,35.7,,,,,,,=82,Denmark,63.7,91.5,85.8,78.8,47.6,42.7,,,,,,,,,,,,,,,,,,,,,301–400,Denmark,30.5–34.9,70.4,90.5,58.1,25.5,18.1,,,,,,,,,,,,,,,,201–250,Denmark,43.0–46.5,68.2,90.8,54.6,34.0,32.7,201–250,Denmark,46.3–49.5,73.4,79.1,63.8,28.4,22.8,,,,,,,,,,,,,,,,,,,,,,,,,,,251–300,Denmark,53.7–55.7,31.7,44.7,80.9,87.6,73.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176–200,Denmark,46.5–47.9,32.9,43.7,57.4,53.5,75.1,1
aalto university,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,Finland,60.5,78.5,87.6,71.7,54.0,45.6,,,,,,,,,,,,,,=88,Finland,61.2,87.7,80.5,72.6,44.3,44.0,,,,,,,,,,,,,,,,113.0,113,109,Finland,Europe,L,FO,VH,A,45.7,180,40.6,231,33.2,476,73.6,141,95.2,146,40.1,354,78.2,355,95.1,52,94.7,59,57.9,,,,,,,101–125,Finland,57.6–60.1,79.7,87.2,76.1,39.0,43.9,,,,,,,,,,,,,,,,,,,,,101–125,Finland,47.1–51.0,75.9,79.2,79.9,35.8,39.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,=196,Finland,58.9,41.7,43.1,81.3,88.2,82.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
aarhus university,,,,,,,,,,,,,,,,65,Denmark,67.9,83.1,99.4,84.4,58.7,47.8,,,,,,=82,Denmark,60.3,32.7,53.3,77.2,99.9,83.0,126–150,Denmark,48.8–51.8,67.3,87.2,72.5,43.0,34.0,,,,,,126–150,Denmark,43.6–46.5,28.6,34.6,60.8,63.2,76.0,=98,Denmark,59.3,73.3,98.6,73.4,48.4,41.7,,,,,,,,,,,,,,,,144.0,144,143,Denmark,Europe,L,FC,VH,A,54.7,144,27.6,349,30.8,509,63.8,177,89.8,192,11.9,682,96.1,54,69.5,162,76.4,176=,53.3,,,,,,,176–200,Denmark,50.0–52.1,76.7,97.1,78.6,29.6,28.0,,,,,,,,,,,,,,,,,,,,,46,Denmark,64.9,83.0,100.0,64.7,64.2,55.6,,,,,,,,,,,,,,,,43,Denmark,68.4,80.1,93.7,75.2,74.0,49.0,77,Denmark,61.6,77.3,100.0,77.6,53.2,39.1,,,,,,,,,,,,,,,,,,,126–150,Denmark,56.0–59.0,77.6,95.9,78.7,38.1,33.7,=110,Denmark,65.5,44.2,59.4,84.3,99.7,79.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,Denmark,57.7,43.6,53.3,73.6,63.8,73.5,3
abai kazakh national pedagogical university,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,675.0,671-680,681-690,Kazakhstan,Asia,L,CO,MD,A,26.5,333,22.8,413,53.8,283,1.1,701+,37.8,427,3.7,701+,4.1,701+,12.6,701+,1.7,701+,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
abdelmalek essaadi university,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,801–1000,Morocco,21.5–28.6,44.1,20.3,26.6,8.6,16.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,801–1000,Morocco,25.6–30.4,61.6,23.6,31.4,15.3,14.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1001+,Morocco,9.3–26.0,43.1,18.1,31.1,7.8,10.8,1501+,Morocco,10.5–25.1,20.8,10.4,38.1,20.0,29.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
abdul wali khan university mardan,,,,,,,,,,,,,,,,501–600,Pakistan,34.7–37.7,72.1,23.0,49.5,9.4,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,501–600,Pakistan,34.8–37.2,88.6,20.0,50.8,10.4,15.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301–400,Pakistan,42.4–46.9,88.8,25.6,49.6,12.9,16.3,801–1000,Pakistan,34.5–38.1,18.8,12.7,81.2,21.8,49.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
aberystwyth university,,,,,,,,,,,,,,,,401–500,United Kingdom,37.8–41.8,65.6,61.5,78.5,16.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,662.0,661-670,661-670,United Kingdom,Europe,M,CO,VH,A,9.4,601+,5.9,601+,18.5,701+,20.3,553,44.6,397,46.5,316,65.9,541,7.1,701+,44.9,338=,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,501–600,United Kingdom,23.8–26.6,56.8,23.4,69.1,14.7,16.7,,,,,,,,,,,,,,,,401–500,United Kingdom,33.6–37.5,56.2,61.6,64.0,20.4,29.1,,,,,,,,,,,,,,,,,,,,,,,,,,,401–500,United Kingdom,39.7–42.3,65.5,47.1,75.9,19.8,17.6,601–800,United Kingdom,38.2–43.2,25.7,21.9,63.2,57.0,85.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
abilene christian university,119,66%,1070.0,1280.0,"$28,978",,66%,1070.0,1280.0,"$28,978",,,,,,,,,,,,,,168,66%,1070.0,1280.0,"$28,978",,,,,,,,,,,,,,,,,256,66%,1070.0,1280.0,"$28,978",,,,,,,,,,,,,,,,,119,66%,1070.0,1280.0,"$28,978",294,66%,1070.0,1280.0,"$28,978",317,66%,1070.0,1280.0,"$28,978",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66%,1070.0,1280.0,"$28,978",,,,,,,,,99,66%,1070.0,1280.0,"$28,978",197,66%,1070.0,1280.0,"$28,978",,66%,1070.0,1280.0,"$28,978",,,,,,,,,,,,,,229,66%,1070.0,1280.0,"$28,978",,,,,,277,66%,1070.0,1280.0,"$28,978",,,,,,,,,,,,,,,,,44,66%,1070.0,1280.0,"$28,978",,66%,1070.0,1280.0,"$28,978",,,,,,,,,,,,,,,,,,,,,,,,,277,66%,1070.0,1280.0,"$28,978",,,,,,157,66%,1070.0,1280.0,"$28,978",66,66%,1070.0,1280.0,"$28,978",,66%,1070.0,1280.0,"$28,978",,,,,,,,,"$44,200","3,175",64%,#296,,Feb. 15,1010.0,1250.0,20.0,28.0,3.6,"$13,668(2024-25)",Ethnic Diversity,31%,63%,2%,4%,18%,7%,4%,1%,,,,,,,,,8
abo akademi university,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,622.0,621-630,601-610,Finland,Europe,M,CO,VH,A,7.5,601+,4.8,601+,18.9,701+,43.2,319,45.9,390,22.6,510,64.5,567,8.3,701+,6.4,701+,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
abraham baldwin agricultural college,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,67%,890.0,1100.0,"$7,260",,,,,,,,,,,,,,,,,,,,,,,,,676,67%,890.0,1100.0,"$7,260",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
