name,location,average_gpa,average_sat_composite,Average Salary 1yr,Average Salary 5yr,acceptance_rate,average_act_composite,type_of_institution,level_of_institution,average_net_price,number_of_students,gpa_link,latitude,longitude,school_name_clean_key
trinity college of florida,"Trinity, FL",3.0,939.0,N/A,N/A,0.6,17,PRIVATE,4 YEAR,15894.0,181.0,https://www.appily.com/colleges/gpa/3-1,N/A,N/A,trinity college of florida
pima medical institutehouston,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,pima medical institutehouston
troy universityonline,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,troy universityonline
laguna college of art and design,"Laguna Beach, CA",3.4,N/A,18069.333333333332,59402.0,0.88,--,PRIVATE,4 YEAR,37560.0,760.0,https://www.appily.com/colleges/gpa/3-5,N/A,N/A,laguna college of art and design
monterey peninsula college,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,monterey peninsula college
harrisburg area community collegelancaster,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,harrisburg area community collegelancaster
futura career institute,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,futura career institute
columbia college springfield,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,columbia college springfield
concordia university ann arbor,"Ann Arbor, MI",3.2,1065.0,47147.53333333333,61028.357142857145,0.7,20,PRIVATE,4 YEAR,24557.0,1203.0,https://www.appily.com/colleges/gpa/3-3,N/A,N/A,concordia university ann arbor
mandl schoolthe college of allied health,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,mandl schoolthe college of allied health
muskegon community college,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,muskegon community college
paul mitchell the schoolgreenville,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,paul mitchell the schoolgreenville
suny brockport,"Brockport, NY",3.3,1101.0,36897.08,53952.851851851854,0.68,20,PUBLIC,4 YEAR,15882.0,6424.0,https://www.appily.com/colleges/gpa/3-4,N/A,N/A,suny brockport
tricoci university of beauty culturenormal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,tricoci university of beauty culturenormal
central washington university,"Ellensburg, WA",3.3,1062.0,40377.08108108108,60755.47619047619,0.93,19,PUBLIC,4 YEAR,16441.0,9257.0,https://www.appily.com/colleges/gpa/3-4,N/A,N/A,central washington university
tiffin academy of hair design,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,tiffin academy of hair design
chattanooga college medical dental and technical careers,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,chattanooga college medical dental and technical careers
atlantic cape community college,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,atlantic cape community college
edge hill university,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,edge hill university
french academy of cosmetology,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,french academy of cosmetology
the evergreen state college,"Olympia, WA",3.2,1094.0,26328.0,41864.0,0.74,21,PUBLIC,4 YEAR,14723.0,2105.0,https://www.appily.com/colleges/gpa/3-3,N/A,N/A,the evergreen state college
crave beauty academy,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,crave beauty academy
lane community college,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,lane community college
career academy of hair designsiloam springs,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,career academy of hair designsiloam springs
brigham young universityidaho,"Rexburg, ID",3.9,1111.0,45297.25,62981.857142857145,0.96,22,PRIVATE,4 YEAR,6871.0,43023.0,https://www.appily.com/colleges/gpa/4-0,N/A,N/A,brigham young universityidaho
chattahoochee technical college,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,chattahoochee technical college
lycoming college,"Williamsport, PA",3.5,1126.0,34280.42857142857,51598.0,0.75,21,PRIVATE,4 YEAR,18580.0,1059.0,https://www.appily.com/colleges/gpa/3-6,N/A,N/A,lycoming college
loughborough university,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,loughborough university
international school of cosmetology,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,international school of cosmetology
saint johns university staten island campus,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,saint johns university staten island campus
marymount california university,"Rancho Palos Verdes, CA",3.1,N/A,27708.0,54959.333333333336,N/A,--,PRIVATE,4 YEAR,33303.0,514.0,https://www.appily.com/colleges/gpa/3-2,N/A,N/A,marymount california university
buckeye joint vocational school,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,buckeye joint vocational school
pacific life bible college,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,pacific life bible college
lincoln college,"Lincoln, IL",2.6,809.0,38076.0,64102.5,0.74,16,PRIVATE,4 YEAR,21797.0,888.0,https://www.appily.com/colleges/gpa/2-7,N/A,N/A,lincoln college
los angeles center,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,los angeles center
the salon professional academyft myers,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,the salon professional academyft myers
university of london london school of economics political science,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,university of london london school of economics political science
center for neurosomatic studies,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,center for neurosomatic studies
florida education institute,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,florida education institute
toni guy hairdressing academyplano,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,toni guy hairdressing academyplano
nossi college of art and design,N/A,N/A,N/A,24497.0,39974.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,nossi college of art and design
pioneer career and technology center,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,pioneer career and technology center
pivot point academy,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,pivot point academy
nuc university ibc technical division ponce,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,nuc university ibc technical division ponce
paul mitchell the schooltampa,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,paul mitchell the schooltampa
polytech adult education,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,polytech adult education
southeastern esthetics institute,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,southeastern esthetics institute
southern vermont college,N/A,N/A,N/A,N/A,60011.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,southern vermont college
marymount university,"Arlington, VA",3.3,1065.0,42666.4,68461.63636363637,0.81,19,PRIVATE,4 YEAR,24224.0,3711.0,https://www.appily.com/colleges/gpa/3-4,N/A,N/A,marymount university
rasmussen universityillinois,N/A,N/A,N/A,50356.357142857145,63302.545454545456,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,rasmussen universityillinois
winstonsalem state university,"Winston Salem, NC",3.0,962.0,36551.36842105263,48835.64705882353,0.73,17,PUBLIC,4 YEAR,12286.0,5004.0,https://www.appily.com/colleges/gpa/3-1,N/A,N/A,winstonsalem state university
coachella valley beauty collegehemet,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,coachella valley beauty collegehemet
st philips college,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,st philips college
florida academy,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,florida academy
college of the sequoias,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,college of the sequoias
university of leeds,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,university of leeds
universidad de monterrey,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,universidad de monterrey
dixie technical college,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,dixie technical college
cannella school of hair designvilla park,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,cannella school of hair designvilla park
san diego miramar college,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,san diego miramar college
visible music college,N/A,N/A,N/A,25929.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,visible music college
queen margaret university edinburgh,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,queen margaret university edinburgh
won institute of graduate studies,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,won institute of graduate studies
strayer universityallentown campus,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,strayer universityallentown campus
hill college,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,hill college
tidewater tech priority automotive tidewater tech learning center,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,tidewater tech priority automotive tidewater tech learning center
american beauty academy,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,american beauty academy
compass college of film and media,N/A,N/A,N/A,29039.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,compass college of film and media
vibe barber college,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,vibe barber college
alamance community college,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,alamance community college
paul mitchell the schoolfresno,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,paul mitchell the schoolfresno
mesa community college,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,mesa community college
southern nazarene university,"Bethany, OK",3.3,N/A,49400.5,60934.4,0.33,22,PRIVATE,4 YEAR,18147.0,1507.0,https://www.appily.com/colleges/gpa/3-4,N/A,N/A,southern nazarene university
texas tech university health sciences centerel paso,N/A,N/A,N/A,73235.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,texas tech university health sciences centerel paso
lindsey institute of cosmetology,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,lindsey institute of cosmetology
college of san mateo,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,college of san mateo
transitions career institute school of nursing,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,transitions career institute school of nursing
ross medical education centerfort wayne,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ross medical education centerfort wayne
snead state community college,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,snead state community college
millermotte collegeaugusta,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,millermotte collegeaugusta
american islamic college,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,american islamic college
redeemer university,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,redeemer university
interactive college of technologynewport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,interactive college of technologynewport
upper valley career center,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,upper valley career center
talmudical seminary oholei torah,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,talmudical seminary oholei torah
corban university,"Salem, OR",3.5,1128.0,36832.0,46376.0,0.35,21,PRIVATE,4 YEAR,24931.0,963.0,https://www.appily.com/colleges/gpa/3-6,N/A,N/A,corban university
asbury university,"Wilmore, KY",3.8,1201.0,44070.333333333336,42628.0,0.79,25,PRIVATE,4 YEAR,23086.0,1650.0,https://www.appily.com/colleges/gpa/4-0,N/A,N/A,asbury university
victory career college,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,victory career college
baker university school of nursing,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,baker university school of nursing
cape fear community college,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,cape fear community college
cuny queens college,"Queens, NY",3.4,1120.0,32023.615384615383,62933.16,0.69,23,PUBLIC,4 YEAR,5594.0,17001.0,https://www.appily.com/colleges/gpa/3-5,N/A,N/A,cuny queens college
naropa university,"Boulder, CO",3.0,N/A,17708.0,34309.0,1.0,--,PRIVATE,4 YEAR,25871.0,1065.0,https://www.appily.com/colleges/gpa/3-1,N/A,N/A,naropa university
california barber and beauty college,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,california barber and beauty college
ecpi universitycharleston,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ecpi universitycharleston
clark state college,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,clark state college
belbo beauty institute,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,belbo beauty institute
neoesthetique european institute,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,neoesthetique european institute
old town barber collegewichita,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,old town barber collegewichita
pima medical instituterenton,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,pima medical instituterenton
empire beauty schoolboston,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,empire beauty schoolboston
automeca technical collegebayamon,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,automeca technical collegebayamon
